FEATURE,UFI,REGNO,REGNAME,AGE_CLASS,MAIN_AGE,APROX_AREA,LANDFORMS,STRATIG,IGNEOUS,REG_META,DEFORMATN,MINDEPS,GEODX_REF
GR_UNIT,"20","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"21","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"22","5",Arafura Region,Palaeozoic,Cambrian,"15000","Dissected plateaus and plateau margins; coastal and littoral plains","Early to Middle Cambrian marine sediments up to 1500 m thick; thin overlying Mesozoic sediments",None,None,Undeformed,Minor bauxite deposits in thin Mesozoic sediments overlying Cambruian sequence,79/03449M11
GR_UNIT,"23","71",Pine Creek Region,Archaean to Proterozoic,Archaean to Palaeoproterozoic,"45000","Hills and ridges; dissected plateaus; undulating plains; alluvial and estuarine plains","Archaean  metamorphic complexes overlain by Palaeoproterozoic  fluvial, intertidal, and marine sediments, including carbonates, and felsic and minor mafic volcanics","Archaean felsic intrusives; Palaeoproterozoic felsic and mafic volcanics and intrusives","Low grade in west; low to high-grade in east","Tight folding; major faulting","Major uranium, gold, copper, lead, zinc, cobalt, nickel, tin, silver, tanatalum, platinum group elements, iron deposits",GOLD1702
GR_UNIT,"24","5",Arafura Region,Palaeozoic,Cambrian,"15000","Dissected plateaus and plateau margins; coastal and littoral plains","Early to Middle Cambrian marine sediments up to 1500 m thick; thin overlying Mesozoic sediments",None,None,Undeformed,Minor bauxite deposits in thin Mesozoic sediments overlying Cambruian sequence,79/03449M11
GR_UNIT,"25","52",McArthur Region,Proterozoic,Palaeoproterozoic to Mesoproterozoic,"154000","Dissected plateaus, with prominent escarpments in northwest; plains","Palaeoproterozoic shallow-marine and continental sediments and mafic and minor felsic volcanics; overlain by shallow-marine to intertidal dolomitic sediments; unconformably overlain by Mesoproterozoic clastic sediments; up to 12 000 m thick",Palaeoproterozoic mafic and minor felsic volcanics,None to very low grade,Local moderate folding and complex faulting,"Major zinc, lead, silver, copper, manganese and uranium deposits","98/29101; B230"
GR_UNIT,"26","5",Arafura Region,Palaeozoic,Cambrian,"15000","Dissected plateaus and plateau margins; coastal and littoral plains","Early to Middle Cambrian marine sediments up to 1500 m thick; thin overlying Mesozoic sediments",None,None,Undeformed,Minor bauxite deposits in thin Mesozoic sediments overlying Cambruian sequence,79/03449M11
GR_UNIT,"27","52",McArthur Region,Proterozoic,Palaeoproterozoic to Mesoproterozoic,"154000","Dissected plateaus, with prominent escarpments in northwest; plains","Palaeoproterozoic shallow-marine and continental sediments and mafic and minor felsic volcanics; overlain by shallow-marine to intertidal dolomitic sediments; unconformably overlain by Mesoproterozoic clastic sediments; up to 12 000 m thick",Palaeoproterozoic mafic and minor felsic volcanics,None to very low grade,Local moderate folding and complex faulting,"Major zinc, lead, silver, copper, manganese and uranium deposits","98/29101; B230"
GR_UNIT,"28","52",McArthur Region,Proterozoic,Palaeoproterozoic to Mesoproterozoic,"154000","Dissected plateaus, with prominent escarpments in northwest; plains","Palaeoproterozoic shallow-marine and continental sediments and mafic and minor felsic volcanics; overlain by shallow-marine to intertidal dolomitic sediments; unconformably overlain by Mesoproterozoic clastic sediments; up to 12 000 m thick",Palaeoproterozoic mafic and minor felsic volcanics,None to very low grade,Local moderate folding and complex faulting,"Major zinc, lead, silver, copper, manganese and uranium deposits","98/29101; B230"
GR_UNIT,"29","52",McArthur Region,Proterozoic,Palaeoproterozoic to Mesoproterozoic,"154000","Dissected plateaus, with prominent escarpments in northwest; plains","Palaeoproterozoic shallow-marine and continental sediments and mafic and minor felsic volcanics; overlain by shallow-marine to intertidal dolomitic sediments; unconformably overlain by Mesoproterozoic clastic sediments; up to 12 000 m thick",Palaeoproterozoic mafic and minor felsic volcanics,None to very low grade,Local moderate folding and complex faulting,"Major zinc, lead, silver, copper, manganese and uranium deposits","98/29101; B230"
GR_UNIT,"30","5",Arafura Region,Palaeozoic,Cambrian,"15000","Dissected plateaus and plateau margins; coastal and littoral plains","Early to Middle Cambrian marine sediments up to 1500 m thick; thin overlying Mesozoic sediments",None,None,Undeformed,Minor bauxite deposits in thin Mesozoic sediments overlying Cambruian sequence,79/03449M11
GR_UNIT,"31","52",McArthur Region,Proterozoic,Palaeoproterozoic to Mesoproterozoic,"154000","Dissected plateaus, with prominent escarpments in northwest; plains","Palaeoproterozoic shallow-marine and continental sediments and mafic and minor felsic volcanics; overlain by shallow-marine to intertidal dolomitic sediments; unconformably overlain by Mesoproterozoic clastic sediments; up to 12 000 m thick",Palaeoproterozoic mafic and minor felsic volcanics,None to very low grade,Local moderate folding and complex faulting,"Major zinc, lead, silver, copper, manganese and uranium deposits","98/29101; B230"
GR_UNIT,"32","5",Arafura Region,Palaeozoic,Cambrian,"15000","Dissected plateaus and plateau margins; coastal and littoral plains","Early to Middle Cambrian marine sediments up to 1500 m thick; thin overlying Mesozoic sediments",None,None,Undeformed,Minor bauxite deposits in thin Mesozoic sediments overlying Cambruian sequence,79/03449M11
GR_UNIT,"33","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"34","5",Arafura Region,Palaeozoic,Cambrian,"15000","Dissected plateaus and plateau margins; coastal and littoral plains","Early to Middle Cambrian marine sediments up to 1500 m thick; thin overlying Mesozoic sediments",None,None,Undeformed,Minor bauxite deposits in thin Mesozoic sediments overlying Cambruian sequence,79/03449M11
GR_UNIT,"35","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"36","7",Arnhem Region,Proterozoic,Palaeoproterozoic,"3000","Dissected plateaus; low hills; coastal dunes and swamps","Palaeoproterozoic metamorphic complex; includes little metamorphosed sediments in south Overlain by thin flat-lying Cretaceous sediments",Palaeoproterozoic felsic intrusives,Low to high grade,Complex folding,Major  bauxite deposits on Cretaceous sediments,98/29079
GR_UNIT,"37","7",Arnhem Region,Proterozoic,Palaeoproterozoic,"3000","Dissected plateaus; low hills; coastal dunes and swamps","Palaeoproterozoic metamorphic complex; includes little metamorphosed sediments in south Overlain by thin flat-lying Cretaceous sediments",Palaeoproterozoic felsic intrusives,Low to high grade,Complex folding,Major  bauxite deposits on Cretaceous sediments,98/29079
GR_UNIT,"38","22",Coen Region,Proterozoic to Palaeozoic,Mesoproterozoic to Permian,"29000","Tablelands; hills; low plateaus; alluvial and sandy plains","Mesoproterozoic metasedimentary sequence; unconformably overlain by late Palaeozoic felsic volcanics","Early Devonian, Late Carboniferous and  Permian felsic volcanics and intrusives; minor mafic intrusives",Low to medium grade (Mesoproterozoic rocks),"Folding in Mesoproterozoic rocks; major faults in cast","Major gold, iron, manganese deposits; minor lode gold, tin, and tungsten and tungsten and alluvial gold and tindeposits",98/29073
GR_UNIT,"39","53",Money Shoal Region,Mesozoic,Cretaceous,"21000","Dissected plateaus;  plains; coastal dunes","Late Cretaccous fluvial and deltaic sediments; maximum thickness about 6000 m",None,None,"Mild folding; block faulting",No known mineral deposits,B177
GR_UNIT,"40","50",Litchfield Region,Proterozoic,Palaeoproterozoic to Mesoproterozoic,"27000","Ridges, low mesas; plains",Palaeoproterozoic schistose to gneissic metamorphics overlain unconformably by up to 10 000 m of Mesoproterozoic sediments Minor thin Palaeozoic amd Mesozoic sediments,Palaeoproterozoic felsic and minor mafic intrusives,Low to high grade,"Complex folding, major faulting",No known mineral deposits,"B168; 90/26902"
GR_UNIT,"41","50",Litchfield Region,Proterozoic,Palaeoproterozoic to Mesoproterozoic,"27000","Ridges, low mesas; plains",Palaeoproterozoic schistose to gneissic metamorphics overlain unconformably by up to 10 000 m of Mesoproterozoic sediments Minor thin Palaeozoic amd Mesozoic sediments,Palaeoproterozoic felsic and minor mafic intrusives,Low to high grade,"Complex folding, major faulting",No known mineral deposits,"B168; 90/26902"
GR_UNIT,"42","13",Bonaparte Region,Palaeozoic to Mesozoic,Cambrian to Cretaceous,"18000","Coastal plains and tidal flats; alluvial plains; hill and ridges","Early Cambrian mafic volcanics; overlain by Cambrian-Early Ordovician shelf sediments with carbonates; overlain by Late Devonian to Triassic and Cretaceous marine and continental sediments; up to 6000 m thick",Early Cambrian mafic volcanics,None,"Mild to moderate folding and faulting; some folding attributed to salt diapirs","Major lead-zinc-silver deposit; minor coal and gas",90/26786
GR_UNIT,"43","88",Victoria River Region,Proterozoic,Palaeoproterozoic to Neoproterozoic,"62000","Dissected plateaus; ridges; alluvial plains","Palaeoproterozoic to Mesoproterozoic shallow-marine to littoral sediments, including carbonates; overlain unconformably by Neoproterozoic glacial sediments; maximum thickness about 5000 m",None,None,"Minor open folding;  faulting","Minor lead, copper,  manganese occurrences",B168
GR_UNIT,"44","13",Bonaparte Region,Palaeozoic to Mesozoic,Cambrian to Cretaceous,"18000","Coastal plains and tidal flats; alluvial plains; hill and ridges","Early Cambrian mafic volcanics; overlain by Cambrian-Early Ordovician shelf sediments with carbonates; overlain by Late Devonian to Triassic and Cretaceous marine and continental sediments; up to 6000 m thick",Early Cambrian mafic volcanics,None,"Mild to moderate folding and faulting; some folding attributed to salt diapirs","Major lead-zinc-silver deposit; minor coal and gas",90/26786
GR_UNIT,"45","7",Arnhem Region,Proterozoic,Palaeoproterozoic,"3000","Dissected plateaus; low hills; coastal dunes and swamps","Palaeoproterozoic metamorphic complex; includes little metamorphosed sediments in south Overlain by thin flat-lying Cretaceous sediments",Palaeoproterozoic felsic intrusives,Low to high grade,Complex folding,Major  bauxite deposits on Cretaceous sediments,98/29079
GR_UNIT,"46","24",Daly River Region,Palaeozoic,Cambrian to Ordovician,"35000","Undulating plains; alluvial plains; minor low plateaus","Early Cambrian mafic volcanics; unconformably overlain by Middle Cambrian-Early Ordovician shelf sediments with carbonates; maximum thickness about 1000 m Also thin overlying Cretaceous continental sediments",Early Cambrian mafic volcanics,None,Some faulting,"Lead, barium, and secondary iron ore occurrences","98/29080; SD5309 - KATHERINE"
GR_UNIT,"47","52",McArthur Region,Proterozoic,Palaeoproterozoic to Mesoproterozoic,"154000","Dissected plateaus, with prominent escarpments in northwest; plains","Palaeoproterozoic shallow-marine and continental sediments and mafic and minor felsic volcanics; overlain by shallow-marine to intertidal dolomitic sediments; unconformably overlain by Mesoproterozoic clastic sediments; up to 12 000 m thick",Palaeoproterozoic mafic and minor felsic volcanics,None to very low grade,Local moderate folding and complex faulting,"Major zinc, lead, silver, copper, manganese and uranium deposits","98/29101; B230"
GR_UNIT,"48","52",McArthur Region,Proterozoic,Palaeoproterozoic to Mesoproterozoic,"154000","Dissected plateaus, with prominent escarpments in northwest; plains","Palaeoproterozoic shallow-marine and continental sediments and mafic and minor felsic volcanics; overlain by shallow-marine to intertidal dolomitic sediments; unconformably overlain by Mesoproterozoic clastic sediments; up to 12 000 m thick",Palaeoproterozoic mafic and minor felsic volcanics,None to very low grade,Local moderate folding and complex faulting,"Major zinc, lead, silver, copper, manganese and uranium deposits","98/29101; B230"
GR_UNIT,"49","52",McArthur Region,Proterozoic,Palaeoproterozoic to Mesoproterozoic,"154000","Dissected plateaus, with prominent escarpments in northwest; plains","Palaeoproterozoic shallow-marine and continental sediments and mafic and minor felsic volcanics; overlain by shallow-marine to intertidal dolomitic sediments; unconformably overlain by Mesoproterozoic clastic sediments; up to 12 000 m thick",Palaeoproterozoic mafic and minor felsic volcanics,None to very low grade,Local moderate folding and complex faulting,"Major zinc, lead, silver, copper, manganese and uranium deposits","98/29101; B230"
GR_UNIT,"50","46",Kimberley Region,Proterozoic,Palaeoproterozoic,"140000","Mountain ranges; dissected plateaus; prominent cuestas; rocky, indented coastline","Palaeoproterozoic shelf sediments, including carbonates, and interlayered mafic and minor felsic volcanics; Maximum thickness about 5000 m Thin Neoproterozoic glacial sediments in south","Palaeoproterozoic mafic and minor felsic volcanics and intrusives (sills); Mesoproterozoic lamproite intrusives",Low to very low grade,"Gentle folding; moderate faulting, with thrusting in southwest","Major iron and bauxite (Cainozoic) deposits; minor copper and lead occurrences",98/29107
GR_UNIT,"51","46",Kimberley Region,Proterozoic,Palaeoproterozoic,"140000","Mountain ranges; dissected plateaus; prominent cuestas; rocky, indented coastline","Palaeoproterozoic shelf sediments, including carbonates, and interlayered mafic and minor felsic volcanics; Maximum thickness about 5000 m Thin Neoproterozoic glacial sediments in south","Palaeoproterozoic mafic and minor felsic volcanics and intrusives (sills); Mesoproterozoic lamproite intrusives",Low to very low grade,"Gentle folding; moderate faulting, with thrusting in southwest","Major iron and bauxite (Cainozoic) deposits; minor copper and lead occurrences",98/29107
GR_UNIT,"52","48",Quinkan Region,Mesozoic to Cainozoic,Early Tertiary,"18000","Dissected plateaus; alluvial and littoral plains","Jurassic continental sediments with coal; overlain conformably by Early Cretaceous deltaic and shallow-marine sediments; maximum thickness about 1800 m",None,None,"Some faulting, mainly along margins","Minor alluvial gold and  coal deposits; traces of hydrocarbons",98/29073
GR_UNIT,"53","48",Quinkan Region,Mesozoic to Cainozoic,Early Tertiary,"18000","Dissected plateaus; alluvial and littoral plains","Jurassic continental sediments with coal; overlain conformably by Early Cretaceous deltaic and shallow-marine sediments; maximum thickness about 1800 m",None,None,"Some faulting, mainly along margins","Minor alluvial gold and  coal deposits; traces of hydrocarbons",98/29073
GR_UNIT,"54","43",Cairns Region,Palaeozoic,Early Palaeozoic to Permian,"50000","Mountain ranges; hills and ridges; dissected plateaus; coastal plains","Neoproterozoic and Early Palaeozoic metamorphics in E and Early to Middle Palaeozoic sediments, mainly turbidites, to W; overlain unconformably by Carboniferous and Permian volcanics (mainly felsic) and Permian to Triassic fluvial sediments with coal","Late Carboniferous and Early Permian felsic and minor mafic and intermediate volcanics and intrusives; Minor pre-Carboniferous and Cainozoic mafic volcanics","Low to high grade in east (pre-Carboniferous); very low grade to west","Moderate to strong  folding; mylonite zones; major faulting","Major tin, tungsten, gold, copper, lead, and zinc, silver, molybdenum, bismuth, indium, antimony, fluorite, and silica deposits",98/29073
GR_UNIT,"55","46",Kimberley Region,Proterozoic,Palaeoproterozoic,"140000","Mountain ranges; dissected plateaus; prominent cuestas; rocky, indented coastline","Palaeoproterozoic shelf sediments, including carbonates, and interlayered mafic and minor felsic volcanics; Maximum thickness about 5000 m Thin Neoproterozoic glacial sediments in south","Palaeoproterozoic mafic and minor felsic volcanics and intrusives (sills); Mesoproterozoic lamproite intrusives",Low to very low grade,"Gentle folding; moderate faulting, with thrusting in southwest","Major iron and bauxite (Cainozoic) deposits; minor copper and lead occurrences",98/29107
GR_UNIT,"56","46",Kimberley Region,Proterozoic,Palaeoproterozoic,"140000","Mountain ranges; dissected plateaus; prominent cuestas; rocky, indented coastline","Palaeoproterozoic shelf sediments, including carbonates, and interlayered mafic and minor felsic volcanics; Maximum thickness about 5000 m Thin Neoproterozoic glacial sediments in south","Palaeoproterozoic mafic and minor felsic volcanics and intrusives (sills); Mesoproterozoic lamproite intrusives",Low to very low grade,"Gentle folding; moderate faulting, with thrusting in southwest","Major iron and bauxite (Cainozoic) deposits; minor copper and lead occurrences",98/29107
GR_UNIT,"57","46",Kimberley Region,Proterozoic,Palaeoproterozoic,"140000","Mountain ranges; dissected plateaus; prominent cuestas; rocky, indented coastline","Palaeoproterozoic shelf sediments, including carbonates, and interlayered mafic and minor felsic volcanics; Maximum thickness about 5000 m Thin Neoproterozoic glacial sediments in south","Palaeoproterozoic mafic and minor felsic volcanics and intrusives (sills); Mesoproterozoic lamproite intrusives",Low to very low grade,"Gentle folding; moderate faulting, with thrusting in southwest","Major iron and bauxite (Cainozoic) deposits; minor copper and lead occurrences",98/29107
GR_UNIT,"58","46",Kimberley Region,Proterozoic,Palaeoproterozoic,"140000","Mountain ranges; dissected plateaus; prominent cuestas; rocky, indented coastline","Palaeoproterozoic shelf sediments, including carbonates, and interlayered mafic and minor felsic volcanics; Maximum thickness about 5000 m Thin Neoproterozoic glacial sediments in south","Palaeoproterozoic mafic and minor felsic volcanics and intrusives (sills); Mesoproterozoic lamproite intrusives",Low to very low grade,"Gentle folding; moderate faulting, with thrusting in southwest","Major iron and bauxite (Cainozoic) deposits; minor copper and lead occurrences",98/29107
GR_UNIT,"59","13",Bonaparte Region,Palaeozoic to Mesozoic,Cambrian to Cretaceous,"18000","Coastal plains and tidal flats; alluvial plains; hill and ridges","Early Cambrian mafic volcanics; overlain by Cambrian-Early Ordovician shelf sediments with carbonates; overlain by Late Devonian to Triassic and Cretaceous marine and continental sediments; up to 6000 m thick",Early Cambrian mafic volcanics,None,"Mild to moderate folding and faulting; some folding attributed to salt diapirs","Major lead-zinc-silver deposit; minor coal and gas",90/26786
GR_UNIT,"60","90",Wiso Region,Palaeozoic,Early Cambrian to Devonian,"160000","Sand plains; dune fields; stony rises; alluvial plains","Early Cambrian mafic volcanics overlain by Middle Cambrian-Ordovician shallow-marine to intertidal sediments with carbonates; unconformably overlain by Devonian continental sequence; maximum thickness about 2000 m",Early Cambrian mafic volcanics,None,"Generally flat-lying; minor faulting","Traces of phosphate, copper",B205
GR_UNIT,"61","13",Bonaparte Region,Palaeozoic to Mesozoic,Cambrian to Cretaceous,"18000","Coastal plains and tidal flats; alluvial plains; hill and ridges","Early Cambrian mafic volcanics; overlain by Cambrian-Early Ordovician shelf sediments with carbonates; overlain by Late Devonian to Triassic and Cretaceous marine and continental sediments; up to 6000 m thick",Early Cambrian mafic volcanics,None,"Mild to moderate folding and faulting; some folding attributed to salt diapirs","Major lead-zinc-silver deposit; minor coal and gas",90/26786
GR_UNIT,"62","13",Bonaparte Region,Palaeozoic to Mesozoic,Cambrian to Cretaceous,"18000","Coastal plains and tidal flats; alluvial plains; hill and ridges","Early Cambrian mafic volcanics; overlain by Cambrian-Early Ordovician shelf sediments with carbonates; overlain by Late Devonian to Triassic and Cretaceous marine and continental sediments; up to 6000 m thick",Early Cambrian mafic volcanics,None,"Mild to moderate folding and faulting; some folding attributed to salt diapirs","Major lead-zinc-silver deposit; minor coal and gas",90/26786
GR_UNIT,"63","13",Bonaparte Region,Palaeozoic to Mesozoic,Cambrian to Cretaceous,"18000","Coastal plains and tidal flats; alluvial plains; hill and ridges","Early Cambrian mafic volcanics; overlain by Cambrian-Early Ordovician shelf sediments with carbonates; overlain by Late Devonian to Triassic and Cretaceous marine and continental sediments; up to 6000 m thick",Early Cambrian mafic volcanics,None,"Mild to moderate folding and faulting; some folding attributed to salt diapirs","Major lead-zinc-silver deposit; minor coal and gas",90/26786
GR_UNIT,"64","13",Bonaparte Region,Palaeozoic to Mesozoic,Cambrian to Cretaceous,"18000","Coastal plains and tidal flats; alluvial plains; hill and ridges","Early Cambrian mafic volcanics; overlain by Cambrian-Early Ordovician shelf sediments with carbonates; overlain by Late Devonian to Triassic and Cretaceous marine and continental sediments; up to 6000 m thick",Early Cambrian mafic volcanics,None,"Mild to moderate folding and faulting; some folding attributed to salt diapirs","Major lead-zinc-silver deposit; minor coal and gas",90/26786
GR_UNIT,"65","52",McArthur Region,Proterozoic,Palaeoproterozoic to Mesoproterozoic,"154000","Dissected plateaus, with prominent escarpments in northwest; plains","Palaeoproterozoic shallow-marine and continental sediments and mafic and minor felsic volcanics; overlain by shallow-marine to intertidal dolomitic sediments; unconformably overlain by Mesoproterozoic clastic sediments; up to 12 000 m thick",Palaeoproterozoic mafic and minor felsic volcanics,None to very low grade,Local moderate folding and complex faulting,"Major zinc, lead, silver, copper, manganese and uranium deposits","98/29101; B230"
GR_UNIT,"66","13",Bonaparte Region,Palaeozoic to Mesozoic,Cambrian to Cretaceous,"18000","Coastal plains and tidal flats; alluvial plains; hill and ridges","Early Cambrian mafic volcanics; overlain by Cambrian-Early Ordovician shelf sediments with carbonates; overlain by Late Devonian to Triassic and Cretaceous marine and continental sediments; up to 6000 m thick",Early Cambrian mafic volcanics,None,"Mild to moderate folding and faulting; some folding attributed to salt diapirs","Major lead-zinc-silver deposit; minor coal and gas",90/26786
GR_UNIT,"67","13",Bonaparte Region,Palaeozoic to Mesozoic,Cambrian to Cretaceous,"18000","Coastal plains and tidal flats; alluvial plains; hill and ridges","Early Cambrian mafic volcanics; overlain by Cambrian-Early Ordovician shelf sediments with carbonates; overlain by Late Devonian to Triassic and Cretaceous marine and continental sediments; up to 6000 m thick",Early Cambrian mafic volcanics,None,"Mild to moderate folding and faulting; some folding attributed to salt diapirs","Major lead-zinc-silver deposit; minor coal and gas",90/26786
GR_UNIT,"68","46",Kimberley Region,Proterozoic,Palaeoproterozoic,"140000","Mountain ranges; dissected plateaus; prominent cuestas; rocky, indented coastline","Palaeoproterozoic shelf sediments, including carbonates, and interlayered mafic and minor felsic volcanics; Maximum thickness about 5000 m Thin Neoproterozoic glacial sediments in south","Palaeoproterozoic mafic and minor felsic volcanics and intrusives (sills); Mesoproterozoic lamproite intrusives",Low to very low grade,"Gentle folding; moderate faulting, with thrusting in southwest","Major iron and bauxite (Cainozoic) deposits; minor copper and lead occurrences",98/29107
